#	Card	Card type	Type	Level	Attack	Defense	Password	SC Cost	Image
31	Koumori Dragon	Monster	Dragon	4	1500	1200	67724379	140	https://ms.yugipedia.com//b/bb/KoumoriDragon-FMR-NA-VG.png
32	Two-headed King Rex	Monster	Dinosaur	4	1600	1200	94119974	160	https://ms.yugipedia.com//3/36/TwoheadedKingRex-FMR-NA-VG.png
33	Judge Man	Monster	Warrior	6	2200	1500	30113682	1000	https://ms.yugipedia.com//b/b5/JudgeMan-FMR-NA-VG.png
34	Saggi the Dark Clown	Monster	Spellcaster	3	600	1500	66602787	60	https://ms.yugipedia.com//a/a1/SaggitheDarkClown-FMR-NA-VG.png
35	Dark Magician	Monster	Spellcaster	7	2500	2100	46986414	999999	https://ms.yugipedia.com//a/a0/DarkMagician-FMR-NA-VG.png
36	The Snake Hair	Monster	Zombie	4	1500	1200	29491031	140	https://ms.yugipedia.com//b/b9/TheSnakeHair-FMR-NA-VG.png
37	Gaia the Dragon Champion	Monster	Dragon	7	2600	2100	66889139	999999	https://ms.yugipedia.com//d/db/GaiatheDragonChampion-FMR-NA-VG.png
38	Gaia the Fierce Knight	Monster	Warrior	7	2300	2100	6368038	999999	https://ms.yugipedia.com//0/02/GaiatheFierceKnight-FMR-NA-VG.png
39	Curse of Dragon	Monster	Dragon	5	2000	1500	28279543	999999	https://ms.yugipedia.com//2/2e/CurseofDragon-FMR-NA-VG.png
40	Dragon Piper	Monster	Pyro	3	200	1800	55763552	55	https://ms.yugipedia.com//d/d4/DragonPiper-FMR-NA-VG.png
41	Celtic Guardian	Monster	Warrior	4	1400	1200	91152256	120	https://ms.yugipedia.com//2/2f/CelticGuardian-FMR-NA-VG.png
42	Illusionist Faceless Mage	Monster	Spellcaster	5	1200	2200	28546905	320	https://ms.yugipedia.com//b/b6/IllusionistFacelessMage-FMR-NA-VG.png
43	Karbonala Warrior	Monster	Warrior	4	1500	1200	54541900	140	https://ms.yugipedia.com//7/7c/KarbonalaWarrior-FMR-NA-VG.png
44	Rogue Doll	Monster	Spellcaster	4	1600	1000	91939608	120	https://ms.yugipedia.com//6/61/RogueDoll-FMR-NA-VG.png
45	Oscillo Hero #2	Monster	Thunder	3	1000	500	27324313	30	https://ms.yugipedia.com//d/d2/OscilloHero2-FMR-NA-VG.png
46	Griffore	Monster	Beast	4	1200	1500	53829412	140	https://ms.yugipedia.com//1/17/Griffore-FMR-NA-VG.png
47	Torike	Monster	Beast	3	1200	600	80813021	45	https://ms.yugipedia.com//1/17/Torike-FMR-NA-VG.png
48	Sangan	Monster	Fiend	3	1000	600	26202165	35	https://ms.yugipedia.com//3/3e/Sangan-FMR-NA-VG.png
49	Big Insect	Monster	Insect	4	1200	1500	53606874	140	https://ms.yugipedia.com//f/fc/BigInsect-FMR-NA-VG.png
50	Basic Insect	Monster	Insect	2	500	700	89091579	25	https://ms.yugipedia.com//c/c6/BasicInsect-FMR-NA-VG.png
51	Armored Lizard	Monster	Reptile	4	1500	1200	15480588	999999	https://ms.yugipedia.com//f/fe/ArmoredLizard-FMR-NA-VG.png
52	Hercules Beetle	Monster	Insect	5	1500	2000	52584282	999999	https://ms.yugipedia.com//6/6d/HerculesBeetle-FMR-NA-VG.png
53	Killer Needle	Monster	Insect	4	1200	1000	88979991	70	https://ms.yugipedia.com//2/20/KillerNeedle-FMR-NA-VG.png
54	Gokibore	Monster	Insect	4	1200	1400	15367030	999999	https://ms.yugipedia.com//6/6f/Gokibore-FMR-NA-VG.png
55	Giant Flea	Monster	Insect	4	1500	1200	41762634	140	https://ms.yugipedia.com//c/cb/GiantFlea-FMR-NA-VG.png
56	Larvae Moth	Monster	Insect	2	500	400	87756343	999999	https://ms.yugipedia.com//e/e7/LarvaeMoth-FMR-NA-VG.png
57	Great Moth	Monster	Insect	8	2600	2500	14141448	999999	https://ms.yugipedia.com//d/d4/GreatMoth-FMR-NA-VG.png
58	Kuriboh	Monster	Fiend	1	300	200	40640057	10	https://ms.yugipedia.com//6/6f/Kuriboh-FMR-NA-VG.png
59	Mammoth Graveyard	Monster	Dinosaur	3	1200	800	40374923	55	https://ms.yugipedia.com//5/53/MammothGraveyard-FMR-NA-VG.png
60	Great White	Monster	Fish	4	1600	800	13429800	999999	https://ms.yugipedia.com//5/52/GreatWhite-FMR-NA-VG.png
61	Wolf	Monster	Beast	3	1200	800	49417509	55	https://ms.yugipedia.com//e/e4/Wolf-FMR-NA-VG.png
62	Harpie Lady	Monster	Winged Beast	4	1300	1400	76812113	999999	https://ms.yugipedia.com//3/32/HarpieLady-FMR-NA-VG.png
63	Harpie Lady Sisters	Monster	Winged Beast	6	1950	2100	12206212	999999	https://ms.yugipedia.com//4/4a/HarpieLadySisters-FMR-NA-VG.png
64	Tiger Axe	Monster	Beast-Warrior	4	1300	1100	49791927	999999	https://ms.yugipedia.com//e/ed/TigerAxe-FMR-NA-VG.png
65	Silver Fang	Monster	Beast	3	1200	800	90357090	55	https://ms.yugipedia.com//c/cb/SilverFang-FMR-NA-VG.png
66	Kojikocy	Monster	Warrior	4	1500	1200	1184620	140	https://ms.yugipedia.com//a/a2/Kojikocy-FMR-NA-VG.png
67	Perfectly Ultimate Great Moth	Monster	Insect	8	3500	3000	48579379	999999	https://ms.yugipedia.com//3/3f/PerfectlyUltimateGreatMoth-FMR-NA-VG.png
68	Garoozis	Monster	Beast-Warrior	5	1800	1500	14977074	290	https://ms.yugipedia.com//e/e4/Garoozis-FMR-NA-VG.png
69	Thousand Dragon	Monster	Dragon	7	2400	2000	41462083	999999	https://ms.yugipedia.com//6/62/ThousandDragon-FMR-NA-VG.png
70	Fiend Kraken	Monster	Aqua	4	1200	1400	77456781	120	https://ms.yugipedia.com//e/e4/FiendKraken-FMR-NA-VG.png
71	Jellyfish	Monster	Aqua	4	1200	1500	14851496	140	https://ms.yugipedia.com//0/0c/Jellyfish-FMR-NA-VG.png
72	Cocoon of Evolution	Monster	Insect	3	0	2000	40240595	999999	https://ms.yugipedia.com//b/bf/CocoonofEvolution-FMR-NA-VG.png
73	Kairyu-Shin	Monster	Sea Serpent	5	1800	1500	76634149	290	https://ms.yugipedia.com//4/49/KairyuShin-FMR-NA-VG.png
74	Giant Soldier of Stone	Monster	Rock	3	1300	2000	13039848	290	https://ms.yugipedia.com//f/f1/GiantSoldierofStone-FMR-NA-VG.png
75	Man-eating Plant	Monster	Plant	2	800	600	49127943	30	https://ms.yugipedia.com//b/b7/ManeatingPlant-FMR-NA-VG.png
76	Krokodilus	Monster	Reptile	4	1100	1200	76512652	80	https://ms.yugipedia.com//6/65/Krokodilus-FMR-NA-VG.png
77	Grappler	Monster	Reptile	4	1300	1200	2906250	100	https://ms.yugipedia.com//b/b4/Grappler-FMR-NA-VG.png
78	Axe Raider	Monster	Warrior	4	1700	1150	48305365	160	https://ms.yugipedia.com//8/87/AxeRaider-FMR-NA-VG.png
79	Megazowler	Monster	Dinosaur	6	1800	2000	75390004	500	https://ms.yugipedia.com//c/c8/Megazowler-FMR-NA-VG.png
80	Uraby	Monster	Dinosaur	4	1500	800	1784619	80	https://ms.yugipedia.com//a/aa/Uraby-FMR-NA-VG.png
81	Crawling Dragon #2	Monster	Dinosaur	4	1600	1200	38289717	160	https://ms.yugipedia.com//f/f8/CrawlingDragon2-FMR-NA-VG.png
82	Red-eyes B. Dragon	Monster	Dragon	7	2400	2000	74677422	999999	https://ms.yugipedia.com//b/b9/RedeyesBDragon-FMR-NA-VG.png
83	Castle of Dark Illusions	Monster	Fiend	4	920	1930	62121	160	https://ms.yugipedia.com//6/6d/CastleofDarkIllusions-FMR-NA-VG.png
84	Reaper of the Cards	Monster	Fiend	5	1380	1930	33066139	290	https://ms.yugipedia.com//5/58/ReaperoftheCards-FMR-NA-VG.png
85	King of Yamimakai	Monster	Fiend	5	2000	1530	69455834	350	https://ms.yugipedia.com//2/2a/KingofYamimakai-FMR-NA-VG.png
86	Barox	Monster	Fiend	5	1380	1530	6840573	180	https://ms.yugipedia.com//c/c7/Barox-FMR-NA-VG.png
87	Dark Chimera	Monster	Fiend	5	1610	1460	32344688	200	https://ms.yugipedia.com//7/7d/DarkChimera-FMR-NA-VG.png
88	Metal Guardian	Monster	Fiend	5	1150	2150	68339286	290	https://ms.yugipedia.com//3/3b/MetalGuardian-FMR-NA-VG.png
89	Catapult Turtle	Monster	Aqua	5	1000	2000	95727991	200	https://ms.yugipedia.com//3/36/CatapultTurtle-FMR-NA-VG.png
90	Gyakutenno Megami	Monster	Fairy	6	1800	2000	31122090	500	https://ms.yugipedia.com//6/65/GyakutennoMegami-FMR-NA-VG.png
91	Mystic Horseman	Monster	Beast	4	1300	1550	68516705	999999	https://ms.yugipedia.com//5/53/MysticHorseman-FMR-NA-VG.png
92	Rabid Horseman	Monster	Beast-Warrior	6	2000	1700	94905343	999999	https://ms.yugipedia.com//9/99/RabidHorseman-FMR-NA-VG.png
93	Zanki	Monster	Warrior	5	1500	1700	30090452	260	https://ms.yugipedia.com//b/b4/Zanki-FMR-NA-VG.png
94	Crawling Dragon	Monster	Dragon	5	1600	1400	67494157	200	https://ms.yugipedia.com//5/5f/CrawlingDragon-FMR-NA-VG.png
95	Crass Clown	Monster	Fiend	4	1350	1400	93889755	140	https://ms.yugipedia.com//b/b3/CrassClown-FMR-NA-VG.png
96	Armored Zombie	Monster	Zombie	3	1500	0	20277860	260	https://ms.yugipedia.com//8/8a/ArmoredZombie-FMR-NA-VG.png
97	Dragon Zombie	Monster	Zombie	3	1600	0	66672569	200	https://ms.yugipedia.com//7/72/DragonZombie-FMR-NA-VG.png
98	Clown Zombie	Monster	Zombie	2	1350	0	92667214	140	https://ms.yugipedia.com//1/1e/ClownZombie-FMR-NA-VG.png
99	Pumpking the King of Ghosts	Monster	Zombie	6	1800	2000	29155212	500	https://ms.yugipedia.com//4/46/PumpkingtheKingofGhosts-FMR-NA-VG.png
100	Battle Warrior	Monster	Warrior	3	700	1000	55550921	40	https://ms.yugipedia.com//6/62/BattleWarrior-FMR-NA-VG.png
101	Wings of Wicked Flame	Monster	Pyro	2	700	600	92944626	30	https://ms.yugipedia.com//a/a0/WingsofWickedFlame-FMR-NA-VG.png
102	Mask of Darkness	Monster	Fiend	2	900	400	28933734	30	https://ms.yugipedia.com//9/93/MaskofDarkness-FMR-NA-VG.png
103	Job-Change Mirror	Monster	Fiend	3	800	1300	55337339	999999	https://ms.yugipedia.com//f/f8/JobChangeMirror-FMR-NA-VG.png
104	Curtain of the Dark Ones	Monster	Spellcaster	2	600	500	22026707	25	https://ms.yugipedia.com//6/62/CurtainoftheDarkOnes-FMR-NA-VG.png
105	Tomozaurus	Monster	Dinosaur	2	500	400	46457856	20	https://ms.yugipedia.com//3/37/Tomozaurus-FMR-NA-VG.png
106	Spirit of the Winds	Monster	Spellcaster	5	1700	1400	54615781	230	https://ms.yugipedia.com//5/5b/SpiritoftheWinds-FMR-NA-VG.png
107	Kageningen	Monster	Warrior	2	800	600	80600490	30	https://ms.yugipedia.com//3/3b/Kageningen-FMR-NA-VG.png
108	Graveyard and the Hand of Invitation	Monster	Zombie	3	700	900	27094595	35	https://ms.yugipedia.com//c/cf/GraveyardandtheHandofInvitation-FMR-NA-VG.png
109	Goddess with the Third Eye	Monster	Fairy	4	1200	1000	53493204	70	https://ms.yugipedia.com//5/53/GoddesswiththeThirdEye-FMR-NA-VG.png
110	Hero of the East	Monster	Warrior	3	1100	1000	89987208	60	https://ms.yugipedia.com//1/13/HerooftheEast-FMR-NA-VG.png
111	Doma The Angel of Silence	Monster	Fairy	5	1600	1400	16972957	200	https://ms.yugipedia.com//d/d9/DomaTheAngelofSilence-FMR-NA-VG.png
112	That Which Feeds on Life	Monster	Fiend	4	1200	1000	52367652	70	https://ms.yugipedia.com//7/75/ThatWhichFeedsonLife-FMR-NA-VG.png
113	Dark Gray	Monster	Beast	3	800	900	9159938	40	https://ms.yugipedia.com//0/0e/DarkGray-FMR-NA-VG.png
114	White Magical Hat	Monster	Spellcaster	3	1000	700	15150365	40	https://ms.yugipedia.com//8/8c/WhiteMagicalHat-FMR-NA-VG.png
115	Kamion Wizard	Monster	Spellcaster	4	1300	1100	41544074	120	https://ms.yugipedia.com//d/d9/KamionWizard-FMR-NA-VG.png
116	Nightmare Scorpion	Monster	Insect	3	900	800	88643173	40	https://ms.yugipedia.com//0/01/NightmareScorpion-FMR-NA-VG.png
117	Spirit of the Books	Monster	Winged Beast	4	1400	1200	14037717	120	https://ms.yugipedia.com//1/11/SpiritoftheBooks-FMR-NA-VG.png
118	Supporter in the Shadows	Monster	Warrior	3	1000	1000	41422426	55	https://ms.yugipedia.com//2/2d/SupporterintheShadows-FMR-NA-VG.png
119	Trial of Nightmares	Monster	Fiend	4	1300	900	77827521	70	https://ms.yugipedia.com//6/6a/TrialofNightmares-FMR-NA-VG.png
120	Dream Clown	Monster	Warrior	3	1200	900	13215230	60	https://ms.yugipedia.com//9/95/DreamClown-FMR-NA-VG.png
121	Sleeping Lion	Monster	Beast	4	700	1700	40200834	120	https://ms.yugipedia.com//1/14/SleepingLion-FMR-NA-VG.png
122	Yamatano Dragon Scroll	Monster	Dragon	2	900	300	76704943	25	https://ms.yugipedia.com//0/08/YamatanoDragonScroll-FMR-NA-VG.png
123	Dark Plant	Monster	Plant	1	300	400	13193642	15	https://ms.yugipedia.com//2/29/DarkPlant-FMR-NA-VG.png
124	Ancient Tool	Monster	Machine	5	1700	1400	49587396	230	https://ms.yugipedia.com//4/47/AncientTool-FMR-NA-VG.png
125	Faith Bird	Monster	Winged Beast	4	1500	1100	75582395	120	https://ms.yugipedia.com//6/65/FaithBird-FMR-NA-VG.png
126	Orion the Battle King	Monster	Fairy	5	1800	1500	2971090	290	https://ms.yugipedia.com//8/84/OriontheBattleKing-FMR-NA-VG.png
127	Ansatsu	Monster	Warrior	5	1700	1200	48365709	180	https://ms.yugipedia.com//8/8d/Ansatsu-FMR-NA-VG.png
128	LaMoon	Monster	Spellcaster	5	1200	1700	75850803	180	https://ms.yugipedia.com//6/6b/LaMoon-FMR-NA-VG.png
129	Nemuriko	Monster	Spellcaster	3	800	700	90963488	30	https://ms.yugipedia.com//c/c4/Nemuriko-FMR-NA-VG.png
130	Weather Control	Monster	Fairy	2	600	400	37243151	20	https://ms.yugipedia.com//1/19/WeatherControl-FMR-NA-VG.png
131	Octoberser	Monster	Aqua	5	1600	1400	74637266	200	https://ms.yugipedia.com//2/22/Octoberser-FMR-NA-VG.png
132	The 13th Grave	Monster	Zombie	3	1200	900	32864	60	https://ms.yugipedia.com//d/d4/The13thGrave-FMR-NA-VG.png
133	Charubin the Fire Knight	Monster	Pyro	3	1100	800	37421579	50	https://ms.yugipedia.com//3/35/CharubintheFireKnight-FMR-NA-VG.png
134	Mystical Capture Chain	Monster	Fairy	2	700	700	63515678	30	https://ms.yugipedia.com//0/0f/MysticalCaptureChain-FMR-NA-VG.png
135	Fiend's Hand	Monster	Zombie	2	600	600	52800428	25	https://ms.yugipedia.com//1/18/FiendsHand-FMR-NA-VG.png
136	Witty Phantom	Monster	Fiend	4	1400	1300	36304921	140	https://ms.yugipedia.com//c/c0/WittyPhantom-FMR-NA-VG.png
137	Mystery Hand	Monster	Fiend	2	500	500	62793020	20	https://ms.yugipedia.com//f/f9/MysteryHand-FMR-NA-VG.png
138	Dragon Statue	Monster	Warrior	3	1100	900	9197735	55	https://ms.yugipedia.com//4/4c/DragonStatue-FMR-NA-VG.png
139	Blue-eyed Silver Zombie	Monster	Zombie	3	900	700	35282433	35	https://ms.yugipedia.com//c/ca/BlueeyedSilverZombie-FMR-NA-VG.png
140	Toad Master	Monster	Aqua	3	1000	1000	62671448	55	https://ms.yugipedia.com//9/90/ToadMaster-FMR-NA-VG.png
141	Spiked Snail	Monster	Insect	3	700	1300	98075147	55	https://ms.yugipedia.com//a/a3/SpikedSnail-FMR-NA-VG.png
142	Flame Manipulator	Monster	Spellcaster	3	900	1000	34460851	50	https://ms.yugipedia.com//1/1c/FlameManipulator-FMR-NA-VG.png
143	Necrolancer the Timelord	Monster	Spellcaster	3	800	900	61454890	40	https://ms.yugipedia.com//0/00/NecrolancertheTimelord-FMR-NA-VG.png
144	Djinn the Watcher of the Wind	Monster	Spellcaster	3	700	900	97843505	35	https://ms.yugipedia.com//6/66/DjinntheWatcheroftheWind-FMR-NA-VG.png
145	The Bewitching Phantom Thief	Monster	Spellcaster	2	700	700	24348204	30	https://ms.yugipedia.com//2/2e/TheBewitchingPhantomThief-FMR-NA-VG.png
146	Temple of Skulls	Monster	Zombie	4	900	1300	732302	70	https://ms.yugipedia.com//a/ae/TempleofSkulls-FMR-NA-VG.png
147	Monster Egg	Monster	Warrior	3	600	900	36121917	999999	https://ms.yugipedia.com//1/1d/MonsterEgg-FMR-NA-VG.png
148	The Shadow Who Controls the Dark	Monster	Fiend	3	800	700	63125616	30	https://ms.yugipedia.com//0/06/TheShadowWhoControlstheDark-FMR-NA-VG.png
149	Lord of the Lamp	Monster	Fiend	4	1400	1200	99510761	120	https://ms.yugipedia.com//1/11/LordoftheLamp-FMR-NA-VG.png
150	Akihiron	Monster	Aqua	5	1700	1400	36904469	230	https://ms.yugipedia.com//7/77/Akihiron-FMR-NA-VG.png
151	Rhaimundos of the Red Sword	Monster	Warrior	4	1200	1300	62403074	100	https://ms.yugipedia.com//f/f8/RhaimundosoftheRedSword-FMR-NA-VG.png
152	The Melting Red Shadow	Monster	Aqua	2	500	700	98898173	25	https://ms.yugipedia.com//f/f1/TheMeltingRedShadow-FMR-NA-VG.png
153	Dokuroizo the Grim Reaper	Monster	Zombie	3	900	1200	25882881	60	https://ms.yugipedia.com//f/fb/DokuroizotheGrimReaper-FMR-NA-VG.png
154	Fire Reaper	Monster	Zombie	2	700	500	53581214	25	https://ms.yugipedia.com//f/fd/FireReaper-FMR-NA-VG.png
155	Larvas	Monster	Beast	3	800	1000	94675535	45	https://ms.yugipedia.com//9/97/Larvas-FMR-NA-VG.png
156	Hard Armor	Monster	Warrior	3	300	1200	20060230	30	https://ms.yugipedia.com//e/e9/HardArmor-FMR-NA-VG.png
157	Firegrass	Monster	Plant	2	700	600	53293545	30	https://ms.yugipedia.com//b/b1/Firegrass-FMR-NA-VG.png
158	Man Eater	Monster	Plant	2	800	600	93553943	30	https://ms.yugipedia.com//4/4a/ManEater-FMR-NA-VG.png
159	Dig Beak	Monster	Beast	2	500	800	29948642	30	https://ms.yugipedia.com//f/f1/DigBeak-FMR-NA-VG.png
160	M-warrior #1	Monster	Warrior	3	1000	500	56342351	30	https://ms.yugipedia.com//4/4e/Mwarrior1-FMR-NA-VG.png
161	M-warrior #2	Monster	Warrior	3	500	1000	92731455	30	https://ms.yugipedia.com//3/3b/Mwarrior2-FMR-NA-VG.png
162	Tainted Wisdom	Monster	Fiend	3	1250	800	28725004	55	https://ms.yugipedia.com//5/5d/TaintedWisdom-FMR-NA-VG.png
163	Lisark	Monster	Beast	4	1300	1300	55210709	120	https://ms.yugipedia.com//5/51/Lisark-FMR-NA-VG.png
164	Lord of Zemia	Monster	Fiend	4	1300	1000	81618817	80	https://ms.yugipedia.com//f/fe/LordofZemia-FMR-NA-VG.png
165	The Judgement Hand	Monster	Warrior	3	1400	700	28003512	60	https://ms.yugipedia.com//d/d3/TheJudgementHand-FMR-NA-VG.png
166	Mysterious Puppeteer	Monster	Warrior	4	1000	1500	54098121	100	https://ms.yugipedia.com//6/6a/MysteriousPuppeteer-FMR-NA-VG.png
167	Ancient Jar	Monster	Rock	1	400	200	81492226	15	https://ms.yugipedia.com//4/42/AncientJar-FMR-NA-VG.png
168	Darkfire Dragon	Monster	Dragon	4	1500	1250	17881964	140	https://ms.yugipedia.com//8/87/DarkfireDragon-FMR-NA-VG.png
169	Dark King of the Abyss	Monster	Fiend	3	1200	800	53375573	55	https://ms.yugipedia.com//f/f6/DarkKingoftheAbyss-FMR-NA-VG.png
170	Spirit of the Harp	Monster	Fairy	4	800	2000	80770678	160	https://ms.yugipedia.com//3/32/SpiritoftheHarp-FMR-NA-VG.png
171	Big Eye	Monster	Fiend	4	1200	1000	16768387	70	https://ms.yugipedia.com//8/85/BigEye-FMR-NA-VG.png
172	Armaill	Monster	Warrior	3	700	1300	53153481	55	https://ms.yugipedia.com//0/08/Armaill-FMR-NA-VG.png
173	Dark Prisoner	Monster	Fiend	3	600	1000	89558090	35	https://ms.yugipedia.com//b/b1/DarkPrisoner-FMR-NA-VG.png
174	Hurricail	Monster	Spellcaster	2	900	200	15042735	25	https://ms.yugipedia.com//5/5e/Hurricail-FMR-NA-VG.png
175	Ancient Brain	Monster	Fiend	3	1000	700	42431843	40	https://ms.yugipedia.com//1/16/AncientBrain-FMR-NA-VG.png
176	Fire Eye	Monster	Pyro	2	800	600	88435542	30	https://ms.yugipedia.com//5/57/FireEye-FMR-NA-VG.png
177	Monsturtle	Monster	Aqua	3	800	1000	15820147	45	https://ms.yugipedia.com//f/f1/Monsturtle-FMR-NA-VG.png
178	Claw Reacher	Monster	Fiend	3	1000	800	41218256	45	https://ms.yugipedia.com//8/86/ClawReacher-FMR-NA-VG.png
179	Phantom Dewan	Monster	Spellcaster	2	700	600	77603950	30	https://ms.yugipedia.com//6/69/PhantomDewan-FMR-NA-VG.png
180	Arlownay	Monster	Plant	3	800	1000	14708569	45	https://ms.yugipedia.com//3/39/Arlownay-FMR-NA-VG.png
181	Dark Shade	Monster	Fiend	3	1000	1000	40196604	55	https://ms.yugipedia.com//0/07/DarkShade-FMR-NA-VG.png
182	Masked Clown	Monster	Warrior	2	500	700	77581312	25	https://ms.yugipedia.com//6/67/MaskedClown-FMR-NA-VG.png
183	Lucky Trinket	Monster	Spellcaster	2	600	800	3985011	30	https://ms.yugipedia.com//a/a6/LuckyTrinket-FMR-NA-VG.png
184	Genin	Monster	Spellcaster	3	600	900	49370026	30	https://ms.yugipedia.com//0/0a/Genin-FMR-NA-VG.png
185	Eyearmor	Monster	Warrior	2	600	500	64511793	25	https://ms.yugipedia.com//a/a7/Eyearmor-FMR-NA-VG.png
186	Fiend Refrection #2	Monster	Winged Beast	4	1100	1400	2863439	100	https://ms.yugipedia.com//9/9c/FiendRefrection2-FMR-NA-VG.png
187	Gate Deeg	Monster	Beast	3	700	800	49258578	30	https://ms.yugipedia.com//3/33/GateDeeg-FMR-NA-VG.png
188	Synchar	Monster	Beast	3	800	900	75646173	40	https://ms.yugipedia.com//c/c3/Synchar-FMR-NA-VG.png
189	Fusionist	Monster	Beast	3	900	700	1641882	35	https://ms.yugipedia.com//4/45/Fusionist-FMR-NA-VG.png
190	Akakieisu	Monster	Spellcaster	3	1000	800	38035986	45	https://ms.yugipedia.com//e/e8/Akakieisu-FMR-NA-VG.png
191	LALA Li-oon	Monster	Thunder	2	600	600	9430387	25	https://ms.yugipedia.com//1/18/LALALioon-FMR-NA-VG.png
192	Key Mace	Monster	Fairy	1	400	300	1929294	15	https://ms.yugipedia.com//6/6a/KeyMace-FMR-NA-VG.png
193	Turtle Tiger	Monster	Aqua	4	1000	1500	37313348	100	https://ms.yugipedia.com//4/42/TurtleTiger-FMR-NA-VG.png
194	Terra the Terrible	Monster	Fiend	4	1200	1300	63308047	100	https://ms.yugipedia.com//4/4d/TerratheTerrible-FMR-NA-VG.png
